City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
265,Vila Velha,BR,-20.3297,-40.2925,76.95,93,75,2.3,broken clouds
266,Tacuarembo,UY,-31.7333,-55.9833,71.2,84,98,4.23,overcast clouds
267,Abu Kamal,SY,34.4506,40.9171,52.36,45,5,10.29,clear sky
268,Ferkessedougou,CI,9.6,-5.2,74.32,11,3,4.74,clear sky
269,Eureka,US,40.8021,-124.1637,56.12,73,91,7.0,overcast clouds
270,Bandarbeyla,SO,9.4942,50.8122,73.42,70,1,13.09,clear sky
271,Ribeira Grande,PT,38.5167,-28.7,58.68,74,100,18.12,overcast clouds
272,Prestea,GH,5.4327,-2.1428,75.29,91,3,2.59,clear sky
273,Seoul,KR,37.5683,126.9778,22.51,53,53,7.27,broken clouds
274,Vestmannaeyjar,IS,63.4427,-20.2734,25.43,69,8,27.67,clear sky
275,Bojnurd,IR,37.4747,57.329,40.28,52,100,9.26,overcast clouds
276,General Pico,AR,-35.6566,-63.7568,82.04,50,0,5.84,clear sky
277,Antalaha,MG,-14.9003,50.2788,75.94,84,100,3.13,overcast clouds
278,Saryg-Sep,RU,51.5,95.6,-21.73,99,81,2.71,broken clouds
279,Malakal,SS,9.5334,31.6605,78.8,22,96,5.48,overcast clouds
280,Mahebourg,MU,-20.4081,57.7,80.26,90,100,24.32,moderate rain
281,Andenes,NO,69.3143,16.1194,21.18,63,57,25.32,broken clouds
282,Kushmurun,KZ,52.4503,64.6311,13.46,86,100,14.32,overcast clouds
283,Caravelas,BR,-17.7125,-39.2481,77.49,83,84,6.33,broken clouds
284,Farafangana,MG,-22.8167,47.8333,76.15,90,83,9.64,light rain
285,Jiaozuo,CN,35.2397,113.2331,34.27,62,5,3.29,clear sky
286,Ust-Tsilma,RU,65.441,52.1498,13.64,97,100,3.62,overcast clouds
287,Agde,FR,43.3108,3.4758,53.46,79,0,3.0,clear sky
288,Osoyoos,CA,49.0331,-119.4524,39.0,74,49,3.09,scattered clouds
289,Kalmunai,LK,7.4167,81.8167,73.13,83,5,4.03,clear sky
290,Carnarvon,AU,-24.8667,113.6333,80.91,58,24,6.78,few clouds
291,Tabou,CI,4.423,-7.3528,79.66,81,2,6.76,clear sky
292,Touros,BR,-5.1989,-35.4608,81.5,75,60,15.43,broken clouds
293,Charters Towers,AU,-20.1,146.2667,74.91,90,100,3.2,overcast clouds
294,Rosario Do Sul,BR,-30.2583,-54.9142,72.5,82,97,20.07,light rain
295,Talavera De La Reina,ES,39.9635,-4.8308,47.68,81,100,3.6,overcast clouds
296,Jurm,AF,36.8648,70.8342,12.54,48,0,7.16,clear sky
297,Ayr,GB,55.4627,-4.6339,43.11,61,20,25.32,few clouds
298,Paita,PE,-5.0892,-81.1144,73.92,75,50,19.73,scattered clouds
299,Vardo,NO,70.3705,31.1107,21.4,63,100,12.77,light snow
300,Ocos,GT,14.5094,-92.1933,88.3,60,4,7.72,clear sky
301,Pisco,PE,-13.7,-76.2167,71.65,73,0,21.85,clear sky
302,Lyngseidet,NO,69.5763,20.2189,15.89,81,18,20.96,few clouds
303,Mongo,TD,12.1844,18.693,67.68,13,29,6.89,scattered clouds
304,Avera,US,33.194,-82.5271,73.71,60,100,11.27,overcast clouds
305,Abu Samrah,SY,35.3029,37.1841,46.22,72,35,6.24,scattered clouds
306,Ostrovnoy,RU,68.0531,39.5131,13.62,92,100,5.1,overcast clouds
307,Constitucion,CL,-35.3333,-72.4167,62.2,84,61,8.72,light rain
308,East London,ZA,-33.0153,27.9116,70.79,84,100,14.25,light rain
309,Smidovich,RU,48.6,133.8167,-26.63,100,61,1.28,broken clouds
310,Christiana,ZA,-27.914,25.1611,67.78,66,86,6.64,overcast clouds
311,Upernavik,GL,72.7868,-56.1549,2.05,66,100,4.0,overcast clouds
312,Canico,PT,32.6333,-16.85,68.0,87,40,6.91,scattered clouds
313,Dese,ET,11.1333,39.6333,49.64,58,12,2.19,few clouds
314,Batagay,RU,67.6333,134.6333,-36.81,99,97,2.1,overcast clouds
315,Bengkulu,ID,-3.8004,102.2655,75.96,88,100,4.32,overcast clouds
316,Narsaq,GL,60.9167,-46.05,26.82,96,100,4.21,light snow
317,Brownsville,US,25.9018,-97.4975,44.58,75,100,13.0,smoke
318,Payakumbuh,ID,-0.2202,100.6308,68.05,97,60,0.6,broken clouds
319,Yumen,CN,40.2833,97.2,13.82,38,35,8.28,scattered clouds
320,Severodvinsk,RU,64.5635,39.8302,10.51,100,95,2.62,overcast clouds
321,Chapais,CA,49.7834,-74.8492,-18.11,96,99,2.55,overcast clouds
322,Hilo,US,19.7297,-155.09,80.33,67,0,6.91,clear sky
323,Sabla,NG,12.7525,4.7077,69.58,13,1,14.88,clear sky
324,Bukachacha,RU,52.9833,116.9167,-18.13,96,17,4.03,few clouds
325,Alekseyevsk,RU,57.8406,108.3492,6.4,96,100,7.25,light snow
326,Mapiripan,CO,2.8892,-72.1256,78.19,73,83,6.64,light rain
327,Marau,BR,-28.4492,-52.2,77.16,48,47,3.47,scattered clouds
328,Dunedin,NZ,-45.8742,170.5036,50.47,95,100,2.89,overcast clouds
329,Sivaki,RU,52.6333,126.75,-9.62,86,46,8.3,scattered clouds
330,Ha Tinh,VN,18.3333,105.9,58.96,88,100,5.17,overcast clouds
331,Pevek,RU,69.7008,170.3133,-17.63,94,11,2.1,few clouds
332,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,80,56,12.19,broken clouds
333,Kasane,BW,-17.8167,25.15,67.28,92,69,5.23,light rain
334,Tucuman,AR,-26.8241,-65.2226,80.6,69,0,5.75,clear sky
335,Te Anau,NZ,-45.4167,167.7167,47.17,97,100,3.98,moderate rain
336,Ardesen,TR,41.1911,40.9875,49.96,66,100,7.14,overcast clouds
337,Paine,CL,-33.8167,-70.75,78.71,41,34,6.6,scattered clouds
338,Bushenyi,UG,-0.5853,30.2114,63.1,63,100,1.83,overcast clouds
339,Cabedelo,BR,-6.9811,-34.8339,83.07,72,92,14.85,light rain
340,Gundlupet,IN,11.8,76.6833,63.27,84,17,3.29,few clouds
341,Okha,RU,53.5739,142.9478,2.88,91,100,22.7,light snow
342,Faya,SA,18.3851,42.4509,54.12,72,45,4.36,scattered clouds
343,Ust-Maya,RU,60.4167,134.5333,-22.59,100,100,2.3,overcast clouds
