City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Port Lincoln,AU,2022-01-31 05:41:56,-34.7333,135.8667,76.06,62,11,9.46
283,Kon Tum,VN,2022-01-31 05:41:56,14.35,108.0,85.64,44,42,2.13
284,Talnakh,RU,2022-01-31 05:41:56,69.4865,88.3972,-2.79,91,90,9.24
285,Manggar,ID,2022-01-31 05:41:57,-2.8833,108.2667,86.41,60,100,9.53
286,Kodiak,US,2022-01-31 05:41:57,57.79,-152.4072,18.91,86,0,8.05
287,Salekhard,RU,2022-01-31 05:41:57,66.53,66.6019,-5.93,99,100,0.87
288,Concepcion Del Uruguay,AR,2022-01-31 05:41:58,-32.4825,-58.2372,71.98,78,0,3.98
289,Bubaque,GW,2022-01-31 05:41:58,11.2833,-15.8333,77.07,69,32,7.85
290,Hearst,CA,2022-01-31 05:41:58,49.6835,-83.6665,-14.55,100,46,2.62
291,Wichita,US,2022-01-31 05:37:18,37.6922,-97.3375,39.79,44,0,0.0
